Journal Title;"Online
ISSN";Subject Area;License types offered;Full Article Publication Charge;;
Fatigue & Fracture of Engineering Materials & Structures;14602695;Failure Fracture;CC BY, CC BY-NC or CC BY-NC-ND;$3.860;£2.580;€ 3.230
FEBS Letters;18733468;Biochemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.980;£2.440;€ 3.170
Feddes Repertorium;1522239X;Plant Science;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Feminist Anthropology;26437961;General & Introductory Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$3.090;£2.060;€ 2.580
Financial Accountability & Management;14680408;General Finance & Investments;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Financial Management;1755053X;General Finance & Investments;CC BY, CC BY-NC or CC BY-NC-ND;$2.850;£1.880;€ 2.390
Financial Markets, Institutions & Instruments;14680416;General Finance & Investments;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.390
Fire and Materials;10991018;General & Introductory Civil Engineering & Construction;CC BY, CC BY-NC or CC BY-NC-ND;$3.760;£2.520;€ 3.090
Fiscal Studies;14755890;Public Economics;CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.610;€ 3.230
Fish and Fisheries;14672979;General Aquaculture, Fisheries & Fish Science;CC BY, CC BY-NC or CC BY-NC-ND;$5.000;£3.300;€ 4.150
Fisheries Management and Ecology;13652400;General Aquaculture, Fisheries & Fish Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£2.950;€ 3.700
Fisheries Oceanography;13652419;General Aquaculture, Fisheries & Fish Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.650;£3.120;€ 3.920
Flavour and Fragrance Journal;10991026;Flavor, Perfume & Cosmetic Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.950;£2.590;€ 3.300
Foreign Language Annals;19449720;Applied Linguistics;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 3.010
Forest Pathology;14390329;Plant Pathology;CC BY, CC BY-NC or CC BY-NC-ND;$3.680;£2.430;€ 3.060
Fortschritte der Physik;15213978;General Physics;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
Freshwater Biology;13652427;Ecology & Organismal Biology;CC BY, CC BY-NC or CC BY-NC-ND;$4.940;£3.290;€ 4.170
Frontiers in Ecology and the Environment;15409309;Ecology & Organismal Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.970;£2.650;€ 3.310
Fuel Cells;16156854;Batteries & Fuel Cells;CC BY, CC BY-NC or CC BY-NC-ND;$3.650;£2.450;€ 3.050
Fundamental & Clinical Pharmacology;14728206;Pharmacology & Pharmaceutical Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$3.300;£2.220;€ 2.790
Futures & Foresight Science;25735152;Decision Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
GAMM - Mitteilungen;15222608;General & Introductory Mathematics;CC BY, CC BY-NC or CC BY-NC-ND;$3.140;£2.110;€ 2.630
Gender & History;14680424;Gender & History;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.270;€ 2.770
Gender, Work & Organization;14680432;General & Introductory Business & Management;CC BY, CC BY-NC or CC BY-NC-ND;$4.880;£3.300;€ 4.030
General Anthropology;19393466;General & Introductory Anthropology;CC BY;$3.090;£2.060;€ 2.580
Genes to Cells;13652443;Cell & Molecular Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.533;€ 3.167
Genes, Chromosomes and Cancer;10982264;Oncology & Radiotherapy;CC BY, CC BY-NC or CC BY-NC-ND;$4.810;£3.220;€ 4.040
genesis;1526968X;Developmental Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.550;€ 3.170
Genetic Epidemiology;10982272;Human Genetics;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.720;€ 3.470
Geoarchaeology;15206548;Soil Science & Geoarchaeology;CC BY, CC BY-NC or CC BY-NC-ND;$3.760;£2.490;€ 3.180
Geobiology;14724669;Paleontology, Paleobiology & Geobiology;CC BY, CC BY-NC or CC BY-NC-ND;$4.880;£3.240;€ 4.030
Geographical Analysis;15384632;Geographical Methodology & Techniques;CC BY, CC BY-NC or CC BY-NC-ND;$3.760;£2.520;€ 3.140
Geographical Research;17455871;General & Introductory Geography;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.220;€ 2.780
Geography Compass;17498198;General & Introductory Geography;CC BY, CC BY-NC or CC BY-NC-ND;$3.700;£2.460;€ 3.080
Geological Journal;10991034;Geology & Geophysics;CC BY, CC BY-NC or CC BY-NC-ND;$3.540;£2.370;€ 2.950
Geology Today;13652451;General & Introductory Earth Sciences;CC BY;$1.100;£830;€ 930
Geophysical Prospecting;13652478;Geology & Geophysics;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.780;€ 3.470
Geostandards and Geoanalytical Research;1751908X;Geochemistry & Mineralogy;CC BY, CC BY-NC or CC BY-NC-ND;$4.200;£2.780;€ 3.520
Geriatrics & Gerontology International;14470594;Geriatric Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$3.750;£2.500;€ 3.150
German Life and Letters;14680483;European Literature;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.670
Gerodontology;17412358;Gerodontology;CC BY, CC BY-NC or CC BY-NC-ND;$3.780;£2.520;€ 3.150
Glia;10981136;Neuroscience;CC BY, CC BY-NC or CC BY-NC-ND;$5.450;£3.630;€ 4.550
Global Biogeochemical Cycles;19449224;Geology & Geophysics;CC BY, CC BY-NC or CC BY-NC-ND;$4.070;£2.910;€ 3.490
Global Business and Organizational Excellence;19322062;International Management;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
Global Change Biology;13652486;Conservation Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.550;£3.180;€ 3.870
Global Ecology and Biogeography;14668238;Ecology & Organismal Biology;CC BY, CC BY-NC or CC BY-NC-ND;$5.000;£3.350;€ 4.200
Global Networks;14710374;General & Introductory Geography;CC BY, CC BY-NC or CC BY-NC-ND;$4.050;£2.700;€ 3.400
Global Policy;17585899;General & Introductory Political Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.200;£2.780;€ 3.520
Global Strategy Journal;20425805;Strategic Management;CC BY, CC BY-NC or CC BY-NC-ND;$3.480;£2.320;€ 2.900
Governance;14680491;Public Administration;CC BY, CC BY-NC or CC BY-NC-ND;$3.730;£2.430;€ 3.130
Grass and Forage Science;13652494;General & Introductory Agriculture;CC BY, CC BY-NC or CC BY-NC-ND;$4.780;£3.190;€ 3.980
Grassland Science;1744697X;Agriculture & Ecology;CC BY, CC BY-NC or CC BY-NC-ND;$2.970;£2.000;€ 2.490
Greenhouse Gases: Science and Technology;21523878;Carbon Capture & Storage;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 2.970
Groundwater;17456584;Groundwater & Hydrogeology;CC BY, CC BY-NC or CC BY-NC-ND;$4.100;£2.730;€ 3.470
Groundwater Monitoring & Remediation;17456592;Groundwater & Hydrogeology;CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.610;€ 3.230
Growth and Change;14682257;Regional Studies;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.840
Haemophilia;13652516;Hematology;CC BY*, CC BY-NC or CC BY-NC-ND;$4.760;£3.190;€ 4.000
Hastings Center Report;1552146X;Bioethics & Medical Ethics;CC BY;$3.570;£2.330;€ 3.010
Head & Neck;10970347;Surgery & Surgical Specialties;CC BY, CC BY-NC or CC BY-NC-ND;$4.760;£3.190;€ 4.000
Headache: The Journal of Head and Face Pain;15264610;Neurology;CC BY*, CC BY-NC or CC BY-NC-ND;$4.150;£2.780;€ 3.470
Health Economics;10991050;Economics of Health & Social Care;CC BY, CC BY-NC or CC BY-NC-ND;$4.050;£2.720;€ 3.360
Health Information and Libraries Journal;14711842;Consumer Health General;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.730
Health Promotion Journal of Australia;22011617;Public Health Behavior & Education;CC BY, CC BY-NC or CC BY-NC-ND;$3.150;£2.100;€ 2.650
Health Services Research;14756773;Health & Social Care;CC BY, CC BY-NC or CC BY-NC-ND;$3.750;£2.480;€ 3.140
Heat Transfer;26884542;General & Introductory Mechanical Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Helicobacter;15235378;Gastroenterology & Hepatology;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.720;€ 3.470
Helvetica Chimica Acta;15222675;General Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.670;€ 3.350
Hematological Oncology;10991069;Hematology;CC BY, CC BY-NC or CC BY-NC-ND;$4.650;£3.120;€ 3.920
Hemodialysis International;15424758;Nephrology;CC BY, CC BY-NC or CC BY-NC-ND;$3.700;£2.450;€ 3.070
Hepatology Research;1872034X;Hepatology;CC BY*, CC BY-NC or CC BY-NC-ND;$3.400;£2.250;€ 2.850
Higher Education Quarterly;14682273;Higher Education General;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Hippocampus;10981063;Neuroscience;CC BY, CC BY-NC or CC BY-NC-ND;$4.780;£3.410;€ 4.100
Histopathology;13652559;Pathology;CC BY, CC BY-NC or CC BY-NC-ND;$4.840;£3.240;€ 4.070
History;1468229X;General & Introductory History;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
History and Theory;14682303;General & Introductory History;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
History Compass;14780542;General & Introductory History;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
HIV Medicine;14681293;Infectious Disease;CC BY*, CC BY-NC or CC BY-NC-ND;$4.150;£2.780;€ 3.470
HLA: Immune Response Genetics;20592310;Cell Therapies & Tissue Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$4.780;£3.190;€ 3.980
Human Factors and Ergonomics in Manufacturing & Service Industries;15206564;General & Introductory Mechanical Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.840
Human Psychopharmacology: Clinical and Experimental;10991077;Psychiatry;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.670;€ 3.350
Human Resource Development Quarterly;15321096;Training & Human Resource Development / Coaching & Mentoring;CC BY, CC BY-NC or CC BY-NC-ND;$3.700;£2.510;€ 3.070
Human Resource Management;1099050X;Human Resource Management;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.720;€ 3.470
Human Resource Management Journal;17488583;Human Resource Management;CC BY, CC BY-NC or CC BY-NC-ND;$4.250;£2.770;€ 3.570
Hydrological Processes;10991085;Hydrological Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$5.230;£3.520;€ 4.380
Ibis;1474919X;Ornithology;CC BY, CC BY-NC or CC BY-NC-ND;$4.480;£3.010;€ 3.750
IEEJ Transactions on Electrical and Electronic Engineering;19314981;Electrical Engineering;CC BY*, CC BY-NC or CC BY-NC-ND;$2.900;£2.200;€ 2.450
Immunological Reviews;1600065X;Allergy & Clinical Immunology;CC BY, CC BY-NC or CC BY-NC-ND;$5.000;£3.300;€ 4.150
Immunology;13652567;Immunology;CC BY, CC BY-NC or CC BY-NC-ND;$5.330;£3.570;€ 4.480
Immunology & Cell Biology;14401711;Immunology;CC BY, CC BY-NC or CC BY-NC-ND;$3.750;£2.500;€ 3.120
In Practice;20427689;General & Introductory Veterinary Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£2.270;€ 2.610
Industrial Relations;1468232X;Industrial & Labor Relations;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 2.900
Industrial Relations Journal;14682338;Industrial & Labor Relations;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.390
Infancy;15327078;Infancy;CC BY, CC BY-NC or CC BY-NC-ND;$3.300;£2.220;€ 2.760
Infant and Child Development;15227219;Developmental Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$2.620;£2.090;€ 2.620
Infant Mental Health Journal;10970355;Infancy;CC BY, CC BY-NC or CC BY-NC-ND;$3.090;£2.010;€ 2.600
Information Systems Journal;13652575;Information & Library Science;CC BY, CC BY-NC or CC BY-NC-ND;$5.110;£3.400;€ 4.310
Insect Conservation and Diversity;17524598;Entomology;CC BY, CC BY-NC or CC BY-NC-ND;$4.750;£3.140;€ 3.970
Insect Molecular Biology;13652583;Entomology;CC BY, CC BY-NC or CC BY-NC-ND;$4.140;£2.700;€ 3.480
Insect Science;17447917;Entomology;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.870
Integrative Zoology;17494877;Animal Science & Zoology;CC BY, CC BY-NC or CC BY-NC-ND;$3.760;£2.520;€ 3.140
Intelligent Systems in Accounting, Finance and Management;21600074;Management Science / Operations Research;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Internal Medicine Journal;14455994;General & Internal Medicine;CC BY*, CC BY-NC or CC BY-NC-ND;$3.570;£2.440;€ 3.010
International Economic Review;14682354;International Economics & Trade;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.330;€ 3.010
International Endodontic Journal;13652591;Endodontics;CC BY, CC BY-NC or CC BY-NC-ND;$4.880;£3.240;€ 4.100
International Finance;14682362;International Finance;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
International Forum of Allergy & Rhinology;20426984;Allergy & Clinical Immunology;CC BY*, CC BY-NC or CC BY-NC-ND;$4.100;£2.720;€ 3.400
International Insolvency Review;10991107;General & Introductory Business & Management;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
International Journal for Numerical and Analytical Methods in Geomechanics;10969853;Computational / Numerical Methods;CC BY, CC BY-NC or CC BY-NC-ND;$4.530;£3.040;€ 3.760
International Journal for Numerical Methods in Biomedical Engineering;20407947;Computational / Numerical Methods;CC BY, CC BY-NC or CC BY-NC-ND;$4.250;£2.820;€ 3.520
International Journal for Numerical Methods in Engineering;10970207;Computational / Numerical Methods;CC BY, CC BY-NC or CC BY-NC-ND;$4.250;£2.820;€ 3.510
International Journal for Numerical Methods in Fluids;10970363;Computational / Numerical Methods;CC BY, CC BY-NC or CC BY-NC-ND;$4.220;£2.780;€ 3.550
International Journal of Adaptive Control and Signal Processing;10991115;Control Systems Technology;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
International Journal of Applied Ceramic Technology;17447402;Ceramics;CC BY, CC BY-NC or CC BY-NC-ND;$4.270;£2.870;€ 3.570
International Journal of Applied Glass Science;20411294;Ceramics;CC BY, CC BY-NC or CC BY-NC-ND;$4.070;£2.730;€ 3.400
International Journal of Applied Linguistics;14734192;Applied Linguistics;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.660
International Journal of Applied Psychoanalytic Studies;15569187;Psychoanalysis;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
International Journal of Art & Design Education;14768070;Art & Design Education;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
International Journal of Auditing;10991123;Auditing;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
International Journal of Cancer;10970215;Oncology & Radiotherapy;CC BY, CC BY-NC or CC BY-NC-ND;$5.030;£3.370;€ 4.280
International Journal of Chemical Kinetics;10974601;Chemical Kinetics;CC BY, CC BY-NC or CC BY-NC-ND;$3.700;£2.450;€ 3.070
International Journal of Circuit Theory and Applications;1097007X;General & Introductory Electrical & Electronics Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$2.780;£1.840;€ 2.310
International Journal of Climatology;10970088;Atmospheric Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.620;€ 3.290
International Journal of Communication Systems;10991131;Communication Technology;CC BY, CC BY-NC or CC BY-NC-ND;$2.760;£1.820;€ 2.300
International Journal of Consumer Studies;14706431;Marketing & Sales;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.840
International Journal of Cosmetic Science;14682494;Dermatology;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.330;€ 2.970
International Journal of Dairy Technology;14710307;General & Introductory Food Science & Technology;CC BY, CC BY-NC or CC BY-NC-ND;$3.950;£2.590;€ 3.300
International Journal of Dental Hygiene;16015037;Dental Hygiene & Therapy;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.550;€ 3.170
International Journal of Dermatology;13654632;Dermatology;CC BY*, CC BY-NC or CC BY-NC-ND;$4.150;£2.780;€ 3.470
International Journal of Developmental Neuroscience;1873474X;Neuroscience;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.590;€ 2.970
International Journal of Eating Disorders;1098108X;Clinical Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$4.300;£2.860;€ 3.580
International Journal of Economic Theory;17427363;Economic Theory;CC BY, CC BY-NC or CC BY-NC-ND;$3.300;£2.210;€ 2.760
International Journal of Experimental Pathology;13652613;Pathology;CC BY, CC BY-NC or CC BY-NC-ND;$3.730;£2.490;€ 3.080
International Journal of Finance & Economics;10991158;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.840
International Journal of Geriatric Psychiatry;10991166;Psychiatry;CC BY, CC BY-NC or CC BY-NC-ND;$4.600;£3.030;€ 3.870
International Journal of Gynecology & Obstetrics;18793479;Obstetrics & Gynecology;CC BY, CC BY-NC or CC BY-NC-ND;$4.480;£2.950;€ 3.750
International Journal of Imaging Systems and Technology;10981098;Radiology & Imaging;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.550;€ 3.170
International Journal of Immunogenetics;1744313X;Immunology;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
International Journal of Laboratory Hematology;1751553X;Laboratory Hematology;CC BY, CC BY-NC or CC BY-NC-ND;$3.880;£2.540;€ 3.260
International Journal of Language & Communication Disorders;14606984;Speech Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.250;£2.840;€ 3.570
International Journal of Management Reviews;14682370;International Management;CC BY, CC BY-NC or CC BY-NC-ND;$4.220;£2.810;€ 3.520
International Journal of Mental Health Nursing;14470349;Mental Health Nursing;CC BY, CC BY-NC or CC BY-NC-ND;$5.050;£3.350;€ 4.200
International Journal of Network Management;10991190;Communication Technology;CC BY, CC BY-NC or CC BY-NC-ND;$2.490;£1.670;€ 2.090
International Journal of Numerical Modelling: Electronic Networks, Devices and Fields;10991204;General & Introductory Electrical & Electronics Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$3.040;£2.060;€ 2.520
International Journal of Nursing Knowledge;20473095;Nursing General;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.270;€ 2.780
International Journal of Nursing Practice;1440172X;Nursing General;CC BY, CC BY-NC or CC BY-NC-ND;$4.090;£2.730;€ 3.410
International Journal of Older People Nursing;17483743;Nursing General;CC BY, CC BY-NC or CC BY-NC-ND;$4.550;£3.020;€ 3.810
International Journal of Osteoarchaeology;10991212;Biological Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$4.220;£2.810;€ 3.520
International Journal of Paediatric Dentistry;1365263X;Pediatric Dentistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.650;£3.070;€ 3.920
International Journal of Psychology;1464066X;Psychology General;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.330;€ 3.010
International Journal of Quantum Chemistry;1097461X;Quantum Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.720;£2.530;€ 3.100
International Journal of Rheumatic Diseases;1756185X;Rheumatology;CC BY, CC BY-NC or CC BY-NC-ND;$3.700;£2.500;€ 3.070
International Journal of Robust and Nonlinear Control;10991239;Control Systems Technology;CC BY, CC BY-NC or CC BY-NC-ND;$4.270;£2.860;€ 3.570
International Journal of Satellite Communications and Networking;15420981;Satellite Communications;CC BY, CC BY-NC or CC BY-NC-ND;$2.860;£1.880;€ 2.390
International Journal of Selection and Assessment;14682389;Human Resource Management;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
International Journal of Social Welfare;14682397;Social Welfare;CC BY, CC BY-NC or CC BY-NC-ND;$3.520;£2.380;€ 2.890
International Journal of Systematic Theology;14682400;Systematic Theology;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
International Journal of Tourism Research;15221970;General & Introductory Business & Management;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.550;€ 3.170
International Journal of Training and Development;14682419;Training & Development;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.390
International Journal of Urban and Regional Research;14682427;General & Introductory Urban Studies;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.720;€ 3.470
International Journal of Urological Nursing;1749771X;Nursing General;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
International Journal of Urology;14422042;Urology;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 2.970
International Migration;14682435;General & Introductory Development Studies;CC BY, CC BY-NC or CC BY-NC-ND;$3.500;£2.340;€ 2.910
International Nursing Review;14667657;Nursing General;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
International Review of Finance;14682443;General Finance & Investments;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.390
International Review of Hydrobiology;15222632;Freshwater Ecology;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.740
International Review of Mission;17586631;General & Introductory Religion & Theology;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
International Social Science Journal;14682451;General Sociology;CC BY, CC BY-NC or CC BY-NC-ND;$2.760;£1.840;€ 2.280
International Social Security Review;1468246X;Social Work;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.390
International Statistical Review;17515823;Applied Probability & Statistics;CC BY, CC BY-NC or CC BY-NC-ND;$4.880;£3.240;€ 4.100
International Transactions in Operational Research;14753995;Management Science / Operations Research;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.670;€ 3.350
Internet Technology Letters;24761508;Communication Technology;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.620
IPPR Progressive Review;25732331;General & Introductory Political Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.140;£2.110;€ 2.630
Irrigation and Drainage;15310361;Water Resource Management;CC BY, CC BY-NC or CC BY-NC-ND;$3.450;£2.320;€ 2.880
Island Arc;14401738;Geology & Geophysics;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.740
Israel Journal of Chemistry;18695868;General Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.650;£3.120;€ 3.850
IUBMB Life;15216551;Cell & Molecular Biology;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£2.950;€ 3.700
JACCP: Journal of the American College of Clinical Pharmacy;25749870;Pharmacology & Pharmaceutical Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 2.900
Japan Journal of Nursing Science;17427924;Nursing General;CC BY, CC BY-NC or CC BY-NC-ND;$2.890;£1.940;€ 2.420
Japanese Journal of Sociology;27691357;General Sociology;CC BY, CC BY-NC or CC BY-NC-ND;$2.680;£1.790;€ 2.210
JCMS: Journal of Common Market Studies;14685965;General & Introductory Political Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.170;£2.760;€ 3.470
Journal der Deutschen Dermatologischen Gesellschaft;16100387;Dermatology;CC BY*, CC BY-NC or CC BY-NC-ND;$4.480;£3.010;€ 3.750
Journal For Eighteenth-Century Studies;17540208;Modern History (1780-1900);CC BY, CC BY-NC or CC BY-NC-ND;$2.760;£1.840;€ 2.330
Journal for Specialists In Pediatric Nursing;17446155;Clinical Specialties;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.270;€ 2.770
Journal for the Anthropology of North America;24755389;North American Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$3.090;£2.060;€ 2.580
Journal for the Scientific Study of Religion;14685906;Sociology of Religion;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.730
Journal for the Theory of Social Behaviour;14685914;Social Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.340;£2.260;€ 2.770
Journal of Accounting Research;1475679X;Financial Accounting;CC BY, CC BY-NC or CC BY-NC-ND;$4.420;£2.300;€ 2.660
Journal of Addictions & Offender Counseling;21611874;Psychotherapy & Counseling;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Journal of Adolescence;10959254;Adolescence;CC BY, CC BY-NC or CC BY-NC-ND;$3.150;£2.420;€ 2.680
Journal of Adolescent & Adult Literacy;19362706;Literacy & Reading;CC BY, CC BY-NC or CC BY-NC-ND;$2.870;£1.930;€ 2.370
Journal of Advanced Manufacturing and Processing;2637403X;General & Introductory Chemical Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$3.660;£2.730;€ 3.090
Journal of Advanced Nursing;13652648;Nursing General;CC BY, CC BY-NC or CC BY-NC-ND;$5.450;£3.630;€ 4.600
Journal of Agrarian Change;14710366;General & Introductory Development Studies;CC BY, CC BY-NC or CC BY-NC-ND;$3.820;£2.530;€ 3.170
Journal of Agricultural Economics;14779552;Agricultural Economics & Resource Management;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.720;€ 3.470
Journal of Agronomy and Crop Science;1439037X;General & Introductory Agriculture;CC BY, CC BY-NC or CC BY-NC-ND;$4.780;£3.190;€ 3.980
Journal of Analytical Psychology;14685922;Psychotherapy & Counseling;CC BY, CC BY-NC or CC BY-NC-ND;$3.300;£2.220;€ 2.760
Journal of Anatomy;14697580;Anatomy & Physiology;CC BY, CC BY-NC or CC BY-NC-ND;$4.050;£2.700;€ 3.380
Journal of Animal Breeding and Genetics;14390388;Animal Genetics;CC BY, CC BY-NC or CC BY-NC-ND;$4.750;£3.170;€ 3.960
Journal of Animal Ecology;13652656;Animal Ecology;CC BY, CC BY-NC or CC BY-NC-ND;$3.610;£2.410;€ 3.000
Journal of Animal Physiology and Animal Nutrition;14390396;Feed;CC BY, CC BY-NC or CC BY-NC-ND;$4.650;£3.120;€ 3.920
Journal of Applied Behavior Analysis;19383703;Health & Behavioral Clinical Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.270;€ 2.900
Journal of Applied Corporate Finance;17456622;Institutional & Corporate Finance;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Journal of Applied Crystallography;16005767;Crystallography;CC BY, CC BY-NC or CC BY-NC-ND;$5.110;£4.030;€ 4.660
Journal of Applied Ecology;13652664;Applied Ecology;CC BY, CC BY-NC or CC BY-NC-ND;$3.610;£2.410;€ 3.000
Journal of Applied Econometrics;10991255;Econometrics;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.670;€ 3.400
Journal of Applied Entomology;14390418;Entomology;CC BY, CC BY-NC or CC BY-NC-ND;$4.780;£3.190;€ 3.980
Journal of Applied Philosophy;14685930;Applied Ethics;CC BY, CC BY-NC or CC BY-NC-ND;$3.980;£2.670;€ 3.300
Journal of Applied Polymer Science;10974628;Polymer Science & Technology General;CC BY, CC BY-NC or CC BY-NC-ND;$4.140;£2.750;€ 3.420
Journal of Applied Research in Intellectual Disabilities;14683148;Intellectual Disability;CC BY, CC BY-NC or CC BY-NC-ND;$4.600;£3.070;€ 3.830
